Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Mileage_per_Year,Premium_Brand,High_Mileage
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,10,1980.0,0,0
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,9,400.0,0,0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,11,3343.8333333333335,0,1
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,10,1315.0,0,0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,19,2522.8,0,1
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,11,5250.0,0,1
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,9,901.0,0,0
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,12,753.8461538461538,0,0
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,9,1505.9,0,0
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,9,2856.9,0,0
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,10,4000.0,0,1
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,10,3090.909090909091,0,1
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,9,1098.0,0,0
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,11,1583.3333333333333,0,0
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,10,2857.0,0,0
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,9,1200.0,0,0
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,15,2375.0,0,1
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,11,2751.5833333333335,0,1
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,10,5461.454545454545,0,1
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,9,3398.8,0,1
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,10,5454.545454545455,0,1
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,16,5172.588235294118,0,1
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,8,1000.0,0,0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,9,546.4,0,0
